classification,database,major,access_location
freshman,Music Online:  Listening,"5202,CLINICAL PSYCHOLOGY,Psychology & Social Work",off campus
faculty,United Nations Treaty Collection,"3608,PHYSIOLOGY,Biology & Life Science",off campus
graduate,LandScan Global Population Database,"1302,FORESTRY,Agriculture & Natural Resources",off campus
junior,Dance Online:  Dance in Video,"6200,GENERAL BUSINESS,Business",on campus
sophomore,DRAM: Database of Recorded American Music,"2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics",off campus
faculty,DRAM: Database of Recorded American Music,"5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work",off campus
graduate,Naxos Music Library Jazz,"1103,ANIMAL SCIENCES,Agriculture & Natural Resources",off campus
freshman,Music and Performing Arts from Alexander Street,"5401,PUBLIC ADMINISTRATION,Law & Public Policy",on campus
sophomore,ASTM Compass,"2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics",off campus
sophomore,ABI/INFORM Global,"2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering",on campus
graduate,Virtual Music Rare Book Room,"2404,BIOMEDICAL ENGINEERING,Engineering",off campus
junior,SCOPUS,"2418,NUCLEAR ENGINEERING,Engineering",off campus
senior,Morningstar Investment Research Center,"2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts",off campus
senior,Morningstar Investment Research Center,"5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work",on campus
graduate,EconPapers,"5203,COUNSELING PSYCHOLOGY,Psychology & Social Work",on campus
freshman,Business Insights: Global,"2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services",off campus
junior,"Mafia in Florida and Cuba: FBI Surveillance of Meyer Lansky and Santo Trafficante, Jr.","3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts",on campus
senior,"Mafia in Florida and Cuba: FBI Surveillance of Meyer Lansky and Santo Trafficante, Jr.","3701,APPLIED MATHEMATICS,Computers & Mathematics",off campus
freshman,Dance Online:  Dance in Video,"3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics",on campus
senior,CINAHL Plus,"5404,SOCIAL WORK,Psychology & Social Work",on campus
sophomore,Trans-Atlantic Slave Trade Database,"1901,COMMUNICATIONS,Communications & Journalism",off campus
graduate,Pollution Abstracts,"6109,TREATMENT THERAPY PROFESSIONS,Health",on campus
sophomore,Scientific American Archive Online,"5503,CRIMINOLOGY,Social Science",on campus
graduate,Virtual Gramophone: Canadian Historical Sound Recordings,"5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy",on campus
junior,Business Insights: Global,"5401,PUBLIC ADMINISTRATION,Law & Public Policy",off campus
senior,CIA World Factbook,"4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services",on campus
faculty,"Nixon Years, 1969-1974","2313,LANGUAGE AND DRAMA EDUCATION,Education",on campus
graduate,Academic Video Online,"1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts",off campus
senior,ASTM Compass,"5402,PUBLIC POLICY,Law & Public Policy",off campus
junior,Humanities International Index,"5202,CLINICAL PSYCHOLOGY,Psychology & Social Work",off campus
senior,"Mafia in Florida and Cuba: FBI Surveillance of Meyer Lansky and Santo Trafficante, Jr.","5401,PUBLIC ADMINISTRATION,Law & Public Policy",on campus
doctorate,ABI/INFORM Global,"3608,PHYSIOLOGY,Biology & Life Science",off campus
junior,LandScan Global Population Database,"5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences",off campus
freshman,ARTFL: Provencal Poetry Database,"3701,APPLIED MATHEMATICS,Computers & Mathematics",on campus
sophomore,INFORMS PubsOnLine,"6002,MUSIC,Arts",off campus
junior,Elektronische Zeitschriftenbibliothek - Frei zugangliche E-Journals,"3605,GENETICS,Biology & Life Science",on campus
doctorate,ERIC (Education Resources Information Center),"2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics",off campus
graduate,Migration to New Worlds,"6110,COMMUNITY AND PUBLIC HEALTH,Health",off campus
freshman,United Nations Treaty Collection,"6206,MARKETING AND MARKETING RESEARCH,Business",on campus
senior,ARTFL: French Women Writers Database,"6202,ACTUARIAL SCIENCE,Business",off campus
faculty,Ethnographic Video Online,"2305,MATHEMATICS TEACHER EDUCATION,Education",on campus
freshman,Medieval Travel Writing,"4000,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary",off campus
junior,Gale eBooks,"6100,GENERAL MEDICAL AND HEALTH SERVICES,Health",off campus
sophomore,General Reference Center Gold,"2307,EARLY CHILDHOOD EDUCATION,Education",off campus
faculty,E-Codices: Virtual Manuscript Library of Switzerland,"5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work",off campus
freshman,Literature Resource Center,"5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences",on campus
senior,Literature Criticism Online,"2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering",off campus
freshman,Agricultural &amp;amp; Environmental Science,"6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business",on campus
doctorate,CIA World Factbook,"2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering",on campus
freshman,ABI/INFORM Dateline,"6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health",off campus
sophomore,DynaMed,"2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering",off campus
doctorate,American Indian Histories and Cultures ,"6004,COMMERCIAL ART AND GRAPHIC DESIGN,Arts",off campus
doctorate,Advanced Technologies &amp;amp; Aerospace (ProQuest),"5203,COUNSELING PSYCHOLOGY,Psychology & Social Work",on campus
faculty,ARTFL: French Women Writers Database,"5203,COUNSELING PSYCHOLOGY,Psychology & Social Work",off campus
sophomore,Naxos Music Library Jazz,"2309,SECONDARY TEACHER EDUCATION,Education",on campus
senior,ERIC (EBSCO),"5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences",on campus
sophomore,Music Online:  Popular Music Library,"3607,PHARMACOLOGY,Biology & Life Science",on campus
faculty,Christian Science Monitor,"6202,ACTUARIAL SCIENCE,Business",off campus
senior,title,"1904,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism",on campus
freshman,ARTFL: French Women Writers Database,"5005,GEOSCIENCES,Physical Sciences",on campus
graduate,IEEE Xplore Digital Library,"3605,GENETICS,Biology & Life Science",on campus
freshman,E-Codices: Virtual Manuscript Library of Switzerland,"bbbb ,N/A (less than bachelor's degree),NA",off campus
senior,ULI Development Case Studies,"2419,PETROLEUM ENGINEERING,Engineering",on campus
faculty,Latin American Network Information Center,"2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering",on campus
freshman,Scientific American Archive Online,"3801,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services",off campus
doctorate,CIA World Factbook,"1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources",off campus
junior,Pollution Abstracts,"5401,PUBLIC ADMINISTRATION,Law & Public Policy",on campus
graduate,Victorian Popular Culture,"2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services",on campus
junior,Virtual Music Rare Book Room,"1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources",off campus
faculty,Gale General OneFile,"6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business",off campus
senior,Ambrose Video,"5202,CLINICAL PSYCHOLOGY,Psychology & Social Work",off campus
faculty,"Meiji Japan: The Edward Sylvester Morse Collection from the Peabody Essex Museum, Salem","5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy",off campus
senior,Gale eBooks,"2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts",off campus
sophomore,IET Digital Library,"1901,COMMUNICATIONS,Communications & Journalism",on campus
sophomore,Business Insights: Global,"2105,INFORMATION SCIENCES,Computers & Mathematics",on campus
sophomore,Academic Video Online,"5202,CLINICAL PSYCHOLOGY,Psychology & Social Work",off campus
junior,DRAM: Database of Recorded American Music,"6205,BUSINESS ECONOMICS,Business",off campus
doctorate,ULI Development Case Studies,"5202,CLINICAL PSYCHOLOGY,Psychology & Social Work",off campus
faculty,IET Digital Library,"3700,MATHEMATICS,Computers & Mathematics",on campus
freshman,American Indian Histories and Cultures ,"1302,FORESTRY,Agriculture & Natural Resources",off campus
doctorate,DRAM: Database of Recorded American Music,"3604,ECOLOGY,Biology & Life Science",on campus
doctorate,University of Washington Music Library Digital Scores Collection,"5003,CHEMISTRY,Physical Sciences",off campus
senior,"Meiji Japan: The Edward Sylvester Morse Collection from the Peabody Essex Museum, Salem","bbbb ,N/A (less than bachelor's degree),NA",on campus
senior,Urban Institute,"1103,ANIMAL SCIENCES,Agriculture & Natural Resources",on campus
freshman,Lippincott Health Library,"6204,OPERATIONS LOGISTICS AND E-COMMERCE,Business",off campus
faculty,University of Washington Music Library Digital Scores Collection,"2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics",off campus
graduate,Sheldon Harris Sheet Music Collection,"6205,BUSINESS ECONOMICS,Business",on campus
faculty,"Mafia in Florida and Cuba: FBI Surveillance of Meyer Lansky and Santo Trafficante, Jr.","5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work",off campus
doctorate,LandScan Global Population Database,"6001,DRAMA AND THEATER ARTS,Arts",on campus
junior,"Florida Folklife from the WPA Collections, 1937-1942","2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education",off campus
junior,DOE OpenNet,"5701,""ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION"",Industrial Arts & Consumer Services",off campus
doctorate,EconPapers,"1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources",off campus
sophomore,ULI Development Case Studies,"5701,""ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION"",Industrial Arts & Consumer Services",off campus
junior,United Nations Treaty Collection,"6100,GENERAL MEDICAL AND HEALTH SERVICES,Health",on campus
faculty,National Theatre Collection 1 and 2,"2406,CIVIL ENGINEERING,Engineering",on campus
senior,Pollution Abstracts,"1104,FOOD SCIENCE,Agriculture & Natural Resources",off campus
sophomore,Music Online:  Listening,"2415,METALLURGICAL ENGINEERING,Engineering",on campus
graduate,Virtual Gramophone: Canadian Historical Sound Recordings,"5008,MATERIALS SCIENCE,Engineering",off campus
sophomore,Los Angeles Times,"6202,ACTUARIAL SCIENCE,Business",off campus
junior,Florida Digital Newspaper Library,"5599,MISCELLANEOUS SOCIAL SCIENCES,Social Science",on campus
doctorate,European Views of the Americas: 1493 to 1750,"5401,PUBLIC ADMINISTRATION,Law & Public Policy",off campus
graduate,Music and Performing Arts from Alexander Street,"4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics",off campus
doctorate,Sibley Music Library Music Scores,"3202,PRE-LAW AND LEGAL STUDIES,Law & Public Policy",on campus
doctorate,Business Insights: Global,"5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work",off campus
faculty,ULI Development Case Studies,"5505,INTERNATIONAL RELATIONS,Social Science",on campus
sophomore,Sibley Music Library Music Scores,"2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education",off campus
junior,Migration to New Worlds,"2410,ENVIRONMENTAL ENGINEERING,Engineering",off campus
faculty,ARL Annual Salary Survey,"6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health",off campus
freshman,University of Washington Music Library Digital Scores Collection,"4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts",off campus
junior,Music Online:  Popular Music Library,"6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts",off campus
faculty,Virtual Gramophone: Canadian Historical Sound Recordings,"6403,UNITED STATES HISTORY,Humanities & Liberal Arts",on campus
freshman,American Indian Movement And Native American Radicalism,"2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education",off campus
sophomore,Trans-Atlantic Slave Trade Database,"5299,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work",on campus
sophomore,National Theatre Collection 1 and 2,"6211,HOSPITALITY MANAGEMENT,Business",on campus
junior,Sheldon Harris Sheet Music Collection,"5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences",off campus
junior,"Caribbean Newspapers, 1718-1876","4007,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science",on campus
junior,American Indian Movement And Native American Radicalism,"5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences",off campus
faculty,Dance Online:  Dance in Video,"2410,ENVIRONMENTAL ENGINEERING,Engineering",on campus
senior,Literature Criticism Online,"2406,CIVIL ENGINEERING,Engineering",off campus
doctorate,CultureGrams,"2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services",on campus
faculty,Advanced Technologies &amp;amp; Aerospace (ProQuest),"6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health",on campus
graduate,Political Risk Yearbook,"6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business",off campus
freshman,Humanities International Index,"6007,STUDIO ARTS,Arts",off campus
freshman,Medieval Travel Writing,"6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health",off campus
freshman,DynaMed,"2408,ELECTRICAL ENGINEERING,Engineering",on campus
faculty,IEEE Xplore Digital Library,"5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences",on campus
freshman,INFORMS PubsOnLine,"5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences",off campus
senior,Lippincott Health Library,"6002,MUSIC,Arts",off campus
junior,AAPG Datapages,"2309,SECONDARY TEACHER EDUCATION,Education",off campus
sophomore,Music and Performing Arts from Alexander Street,"3401,LIBERAL ARTS,Humanities & Liberal Arts",on campus
graduate,Florida Digital Newspaper Library,"6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business",on campus
freshman,"Mafia in Florida and Cuba: FBI Surveillance of Meyer Lansky and Santo Trafficante, Jr.","3605,GENETICS,Biology & Life Science",off campus
senior,ARTFL: Provencal Poetry Database,"2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics",on campus
faculty,Gale OneFile: Educator's Reference,"3402,HUMANITIES,Humanities & Liberal Arts",off campus
senior,ARTFL: French Women Writers Database,"2310,SPECIAL NEEDS EDUCATION,Education",off campus
faculty,Gale eBooks,"2500,ENGINEERING TECHNOLOGIES,Engineering",off campus
faculty,Latin American Network Information Center,"2102,COMPUTER SCIENCE,Computers & Mathematics",off campus
junior,"Voices from the Dust Bowl: the Charles L. Todd and Robert Sonkin Migrant Worker Collection, 1940-1941","6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health",on campus
sophomore,Latin American Network Information Center,"2310,SPECIAL NEEDS EDUCATION,Education",off campus
sophomore,Dance Online:  Dance in Video,"5203,COUNSELING PSYCHOLOGY,Psychology & Social Work",on campus
doctorate,Latin American Network Information Center,"3402,HUMANITIES,Humanities & Liberal Arts",off campus
sophomore,E-Codices: Virtual Manuscript Library of Switzerland,"6000,FINE ARTS,Arts",off campus
doctorate,ABI/INFORM Global,"2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics",on campus
graduate,"Mafia in Florida and Cuba: FBI Surveillance of Meyer Lansky and Santo Trafficante, Jr.","5404,SOCIAL WORK,Psychology & Social Work",off campus
freshman,Agricultural &amp;amp; Environmental Science,"2102,COMPUTER SCIENCE,Computers & Mathematics",off campus
graduate,Christian Science Monitor,"5401,PUBLIC ADMINISTRATION,Law & Public Policy",on campus
senior,"Caribbean Newspapers, 1718-1876","2405,CHEMICAL ENGINEERING,Engineering",off campus
senior,General Reference Center Gold,"5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences",on campus
junior,ProQuest Historical Newspapers: Philadelphia Tribune (1912-2001),"2404,BIOMEDICAL ENGINEERING,Engineering",on campus
senior,ARTFL French Dictionaries,"6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business",on campus
freshman,Humanities International Index,"6104,MEDICAL ASSISTING SERVICES,Health",off campus
faculty,United Nations Treaty Collection,"5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science",on campus
graduate,American Indian Movement And Native American Radicalism,"5404,SOCIAL WORK,Psychology & Social Work",on campus
faculty,Literature Criticism Online,"5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work",off campus
graduate,Sheldon Harris Sheet Music Collection,"2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering",off campus
junior,Medieval Travel Writing,"3606,MICROBIOLOGY,Biology & Life Science",off campus
doctorate,Florida Digital Newspaper Library,"6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health",off campus
senior,RIPM Retrospective Index to Music Periodicals with Online Archive,"2303,SCHOOL STUDENT COUNSELING,Education",on campus
senior,CultureGrams,"6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health",on campus
freshman,Virtual Music Rare Book Room,"2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education",on campus
faculty,PILOTS,"2312,TEACHER EDUCATION: MULTIPLE LEVELS,Education",off campus
faculty,ULI Development Case Studies,"2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education",off campus
faculty,Business Insights: Global,"5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy",on campus
freshman,National Theatre Collection 1 and 2,"2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering",on campus
junior,ERIC (Education Resources Information Center),"5701,""ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION"",Industrial Arts & Consumer Services",on campus
doctorate,SciFinder-n,"6002,MUSIC,Arts",off campus
sophomore,Japanese-American Relocation Camp Newspapers: Perspectives on Day-to-Day Life,"4002,NUTRITION SCIENCES,Health",off campus
doctorate,Apartheid South Africa,"2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering",on campus
doctorate,IEEE Xplore Digital Library,"2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering",off campus
freshman,ULI Development Case Studies,"6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health",on campus
junior,Oxford Bibliographies Online: Philosophy,"2408,ELECTRICAL ENGINEERING,Engineering",off campus
junior,CIA World Factbook,"5202,CLINICAL PSYCHOLOGY,Psychology & Social Work",off campus
junior,"Voices from the Dust Bowl: the Charles L. Todd and Robert Sonkin Migrant Worker Collection, 1940-1941","2402,BIOLOGICAL ENGINEERING,Engineering",off campus
junior,ARTFL: French Women Writers Database,"5000,PHYSICAL SCIENCES,Physical Sciences",off campus
faculty,INFORMS PubsOnLine,"5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work",on campus
junior,Migration to New Worlds,"3701,APPLIED MATHEMATICS,Computers & Mathematics",on campus
freshman,AAPG Datapages,"2404,BIOMEDICAL ENGINEERING,Engineering",off campus
doctorate,Virtual Gramophone: Canadian Historical Sound Recordings,"2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts",off campus
freshman,University of Washington Music Library Digital Scores Collection,"3402,HUMANITIES,Humanities & Liberal Arts",on campus
junior,Literature Resource Center,"6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health",on campus
sophomore,Japanese-American Relocation Camp Newspapers: Perspectives on Day-to-Day Life,"5008,MATERIALS SCIENCE,Engineering",on campus
graduate,"Early American Imprints, Series I: Evans, 1639-1800","5005,GEOSCIENCES,Physical Sciences",off campus
faculty,Making of America Journals (Cornell),"5200,PSYCHOLOGY,Psychology & Social Work",off campus
freshman,Music Online:  Popular Music Library,"1903,MASS MEDIA,Communications & Journalism",off campus
senior,ABI/INFORM Global,"6402,HISTORY,Humanities & Liberal Arts",off campus
faculty,Healthcare Administration Database (ProQuest),"5500,GENERAL SOCIAL SCIENCES,Social Science",on campus
junior,"Meiji Japan: The Edward Sylvester Morse Collection from the Peabody Essex Museum, Salem","1100,GENERAL AGRICULTURE,Agriculture & Natural Resources",off campus
doctorate,ABI/INFORM Global,"2404,BIOMEDICAL ENGINEERING,Engineering",off campus
freshman,DynaMed,"5503,CRIMINOLOGY,Social Science",on campus
sophomore,Los Angeles Times,"5505,INTERNATIONAL RELATIONS,Social Science",off campus
graduate,Music Online:  Listening,"2102,COMPUTER SCIENCE,Computers & Mathematics",on campus
junior,Play Index (H.W. Wilson),"4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts",on campus
senior,Naxos Music Library,"3602,BOTANY,Biology & Life Science",off campus
doctorate,PsychiatryOnline,"6110,COMMUNITY AND PUBLIC HEALTH,Health",off campus
graduate,American Indian Movement And Native American Radicalism,"2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education",off campus
senior,Healthcare Administration Database (ProQuest),"1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources",off campus
sophomore,Healthcare Administration Database (ProQuest),"2399,MISCELLANEOUS EDUCATION,Education",on campus
graduate,American Indian Movement And Native American Radicalism,"4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science",off campus
graduate,University of Miami Electronic Theses and Dissertations,"2314,ART AND MUSIC EDUCATION,Education",off campus
doctorate,Business Insights: Global,"5006,OCEANOGRAPHY,Physical Sciences",off campus
senior,PILOTS,"2410,ENVIRONMENTAL ENGINEERING,Engineering",off campus
junior,ARTFL French Dictionaries,"4002,NUTRITION SCIENCES,Health",on campus
doctorate,E-Codices: Virtual Manuscript Library of Switzerland,"3501,LIBRARY SCIENCE,Education",on campus
sophomore,DRAM: Database of Recorded American Music,"2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering",on campus
sophomore,DRAM: Database of Recorded American Music,"6104,MEDICAL ASSISTING SERVICES,Health",off campus
faculty,Naxos Music Library,"3611,NEUROSCIENCE,Biology & Life Science",on campus
senior,Music and Performing Arts from Alexander Street,"3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts",off campus
junior,Play Index (H.W. Wilson),"5003,CHEMISTRY,Physical Sciences",on campus
faculty,American Indian Histories and Cultures ,"3402,HUMANITIES,Humanities & Liberal Arts",off campus
faculty,CultureGrams,"5507,SOCIOLOGY,Social Science",off campus
faculty,LandScan Global Population Database,"3201,COURT REPORTING,Law & Public Policy",off campus
junior,ARL Annual Salary Survey,"6210,INTERNATIONAL BUSINESS,Business",off campus
faculty,"Meiji Japan: The Edward Sylvester Morse Collection from the Peabody Essex Museum, Salem","5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work",on campus
senior,American Indian Movement And Native American Radicalism,"5504,GEOGRAPHY,Social Science",on campus
graduate,Scientific American Archive Online,"3602,BOTANY,Biology & Life Science",on campus
doctorate,PILOTS,"6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health",off campus
graduate,ARTFL Main Database of French Texts,"2499,MISCELLANEOUS ENGINEERING,Engineering",on campus
junior,Virtual Music Rare Book Room,"2414,MECHANICAL ENGINEERING,Engineering",on campus
freshman,IEEE Xplore Digital Library,"5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences",on campus
